;standard,0.0,False;uniform-linf,0.02,False;uniform-linf,0.03,False;uniform-l0.5,100000.0,False;uniform-l0.5,200000.0,False;uniform-l1,40.0,False;uniform-l1,80.0,False;uniform-l2,1.0,False;uniform-l2,2.0,False;uniform-l50,0.1,False;uniform-l50,0.2,False;uniform-l0-impulse-max,0.01,True;uniform-l0-impulse-max,0.02,True;uniform-l0-impulse-linear,0.02,False;uniform-l0-impulse-linear,0.03,False;uniform-l0-impulse-linear,0.06,False
;86,67275;87,95425;87,29875;87,18625;87,90875;87,5108;;;;;;;;;;
;84,28833333;85,94966667;85,06366667;84,958;85,75366667;85,10146667;;;;;;;;;;
;75,280375;78,79025;78,306125;78,07275;78,670875;93,6423;;;;;;;;;;
;;;;;;;;;;;;;;;;
;94,7156;93,512;93,656;93,635;93,994;93,871;;;;;;;;;;
;0;0,5;1;2;50;inf;;0;0,5;1;2;50;inf;;;
0;93,6423;78,79025;78,306125;78,07275;78,670875;75,280375;0;1;0,8414;0,8362;0,8337;0,8401;0,8039;;;
0,5;85,7335;85,68775;84,79475;84,77725;85,5485;83,89025;0,5;1;0,9995;0,9891;0,9888;0,9978;0,9785;;;
1;86,2331;86,337;85,57725;85,464;86,21475;84,7075;1;0,9988;1;0,9912;0,9899;0,9986;0,9811;;;
2;88,6121;89,9305;89,4555;89,38625;89,97675;89,29175;2;0,9848;0,9995;0,9942;0,9934;1;0,9924;;;
5;79,82066667;79,00566667;77,63533333;77,685;78,65066667;75,82866667;5;1;0,9898;0,9726;0,9732;0,9853;0,95;;;
10;83,6031;83,0315;82,0645;82,07375;82,81925;80,82425;10;1;0,9932;0,9816;0,9817;0,9906;0,9668;;;
50;87,5108;87,95425;87,29875;87,18625;87,90875;86,67275;50;0,995;1;0,9925;0,9913;0,9995;0,9854;;;
200;85,10146667;85,94966667;85,06366667;84,958;85,75366667;84,28833333;200;0,9901;1;0,9897;0,9885;0,9977;0,9807;;;
inf;89,91744;92,1084;91,9904;91,9856;92,3478;92,1338;inf;0,9737;0,9974;0,9961;0,9961;1;0,9977;;;
;;;;;;;;0,9936;0,980088889;0,971466667;0,970733333;0,978844444;0,959611111;;;
